PLUMname,LPJGname,calibFactor
CerealsC3,TeWW,0.988
CerealsC4,TeCo,0.706
Rice,TrRi,0.978
Oilcrops,TeSW,0.594
Pulses,TeSW,0.572
StarchyRoots,TeSW,5.832
Miscanthus,TeCo,2.148
