PLUMname,LPJGname,calibFactor
CerealsC3,CerealsC3w,0.988
CerealsC3,CerealsC3s,0.988
CerealsC4,CerealsC4,0.706
Rice,Rice,0.978
Oilcrops,Oilcrops,0.594
Pulses,Pulses,0.572
StarchyRoots,StarchyRoots,5.832
Miscanthus,Miscanthus,2.148
