CATEGORY,ITEM,kcal,protein_g,fat_g
OILS AND FATS: ANIMALS FATS,FAT OF OTHER CAMELIDS,847,2,93
OILS AND FATS: ANIMALS FATS,ANIMAL OILS AND FATS NES ,902,0,100
OILS AND FATS: ANIMALS FATS,TALLOW ,884,0,100
OILS AND FATS: ANIMALS FATS,FATS PREPARATION NES,720,0.6,81
OILS AND FATS: ANIMALS FATS,FRESHWATER DIADROMOUS FISH BODY OIL,902,0,100
OILS AND FATS: ANIMALS FATS,FRESHWATER DIADROMOUS FISH LIVER OIL,902,0,100
OILS AND FATS: ANIMALS FATS,DEMERSAL FISH BODY OIL,902,0,100
OILS AND FATS: ANIMALS FATS,DEMERSAL FISH LIVER OIL,902,0,100
OILS AND FATS: ANIMALS FATS,PELAGIC FISH BODY OIL,902,0,100
OILS AND FATS: ANIMALS FATS,PELAGIC FISH LIVER OIL,902,0,100
OILS AND FATS: ANIMALS FATS,MARINE FISH NES BODY OIL,902,0,100
OILS AND FATS: ANIMALS FATS,MARINE FISH L221NES LIVER OIL,902,0,100
OILS AND FATS: ANIMALS FATS,AQUATIC MAMMALS OILS,902,0,100
MISCELLANOUS,INFANT FOOD ,368,15.2,2.9
MISCELLANOUS,BEVERAGES NON-ALCOHOLIC ,39,0,0
MISCELLANOUS,ICE CREAM ,149,2,6.7
MISCELLANOUS,FOOD PREPARATIONS ,41,1.2,0.5
